"DRH ID code","Outcome","MolecularWeight","MonoisotopicMass","ExactMass","XLogP","TPSA","Complexity","Charge","HBondDonorCount","HBondAcceptorCount","RotatableBondCount","HeavyAtomCount","IsotopeAtomCount","AtomStereoCount","DefinedAtomStereoCount","UndefinedAtomStereoCount","BondStereoCount","DefinedBondStereoCount","UndefinedBondStereoCount","CovalentUnitCount","Volume3D","XStericQuadrupole3D","YStericQuadrupole3D","ZStericQuadrupole3D","FeatureCount3D","FeatureAcceptorCount3D","FeatureDonorCount3D","FeatureAnionCount3D","FeatureCationCount3D","FeatureRingCount3D","FeatureHydrophobeCount3D","ConformerModelRMSD3D","EffectiveRotorCount3D","ConformerCount3D"
"BRD-K45293975","Cyto","482.5","482.19540532","482.19540532","2.7","89.7","935","0","3","5","2","36","0","5","5","0","0","0","0","1","355.7","8.03","6.43","1.38","18","4","3","0","3","8","0","0.8","3.2","1"
"BRD-K78177893","Cyto","358.4","358.17936134","358.17936134","3.6","76.8","456","0","2","4","6","27","0","1","1","0","0","0","0","1","286.4","12.18","5.5","1.31","10","3","2","0","1","4","0","0.8","6","10"
"BRD-K31965398","Cyto","811.9","811.34151998","811.34151998","3.8","217","1530","0","4","16","10","58","0","13","13","0","0","0","0","1","","","","","","","","","","","","","","0"
"BRD-K33127281","Cyto","412.5","412.20384475","412.20384475","7.7","46.5","645","0","1","3","4","31","0","0","0","0","0","0","0","1","319.3","18.9","3.9","1.03","11","3","0","1","0","7","0","0.8","5.2","6"
"BRD-K01826783","Cyto","255.74","255.1026065","255.1026065","2.8","52.3","260","0","1","3","5","17","0","1","1","0","0","0","0","1","197.5","10.69","1.49","1.16","5","1","1","0","1","1","1","0.6","5","10"
"BRD-K83988098","Cyto","616.7","616.3472145","616.3472145","2","170","1230","0","4","10","8","44","0","6","6","0","3","3","0","1","482","14.79","6.18","2.71","14","7","4","0","2","1","0","1.2","9.8","5"
"BRD-K87909389","Cyto","401.8","401.1030004","401.1030004","3.3","90.2","628","0","3","6","2","28","0","2","2","0","0","0","0","1","294.3","7.27","5.97","1.38","11","3","3","0","1","4","0","0.8","3.2","7"
"BRD-K91370081","Cyto","265.3","265.13140809","265.13140809","0.9","67.8","302","0","2","5","5","19","0","3","3","0","0","0","0","1","206.3","8","2.82","1.3","8","3","2","0","1","2","0","0.8","6","10"
"BRD-K00003196","Cyto","635.1","634.2657086","634.2657086","3.1","136","1150","0","2","9","5","44","0","7","7","0","2","2","0","1","476.4","14.7","5.18","2.67","12","7","2","0","0","2","1","1","7","1"
"BRD-K15898725","Cyto","635.1","634.2657086","634.2657086","3.1","136","1150","0","2","9","5","44","0","7","7","0","2","2","0","1","476.4","14.7","5.18","2.67","12","7","2","0","0","2","1","1","7","1"
"BRD-K04725460","Cyto","226.23","226.062994177","226.062994177","3.2","57.5","287","0","2","3","0","17","0","0","0","0","0","0","0","1","172","6.52","2.45","0.6","6","1","2","0","0","3","0","0.4","0.2","1"
"BRD-K97840621","Cyto","337.29","337.10223322","337.10223322","-1.9","185","571","0","5","10","3","24","0","4","4","0","0","0","0","1","230.5","7.25","4.37","0.81","17","6","5","0","3","3","0","0.8","4","10"
"BRD-K13167095","Cyto","312.4","312.1473925","312.1473925","2.8","78.4","397","0","3","3","5","23","0","1","1","0","0","0","0","1","248.7","15.08","2.63","1.32","7","2","2","0","0","2","1","0.8","7","10"
"BRD-K00003294","Cyto","487.5","487.21320126","487.21320126","4.2","98.4","752","0","3","8","7","36","0","0","0","0","0","0","0","1","373.5","15.19","5.99","1.5","14","1","3","0","4","5","1","1","9.2","10"
"BRD-K86525559","Cyto","362.4","362.1212752","362.1212752","2.3","125","495","0","4","5","4","25","0","1","1","0","0","0","0","1","269.2","11.63","5.69","1.26","10","2","4","0","1","3","0","0.8","7.2","10"
"BRD-K00003533","Cyto","404.4","404.11185333","404.11185333","4.2","96.3","619","0","2","8","6","28","0","1","1","0","0","0","0","1","299.7","19.68","3.1","1.29","8","2","1","0","2","3","0","1.2","6","10"
"BRD-K00003291","Cyto","507.6","507.18010687","507.18010687","1.4","170","725","0","3","12","7","36","0","0","0","0","0","0","0","1","376.4","19.25","5.94","2.7","14","3","2","0","4","5","0","1","9.2","10"
"BRD-K17743125","Cyto","318.3","318.06742811","318.06742811","1.7","104","492","0","3","5","5","22","0","0","0","0","1","1","0","1","237.9","7.1","4.15","1.69","7","3","2","0","0","2","0","0.8","6","10"
"BRD-K64890080","Cyto","521.7","521.31143813","521.31143813","3.7","103","816","0","2","8","7","38","0","1","1","0","0","0","0","1","400.9","25.07","4.06","1.48","13","3","2","0","2","5","1","1.2","10.8","10"
"BRD-A81370665","Cyto","391.4","391.18198132","391.18198132","3.6","81.6","542","0","2","8","5","28","0","1","1","0","0","0","0","1","293.1","11.09","4.56","1.32","8","1","2","0","1","3","1","0.8","5.6","10"
"BRD-K88510285","Cyto","384.2","384.1968855","384.1968855","","124","500","0","4","6","9","28","0","2","2","0","0","0","0","1","","","","","","","","","","","","","","0"
"BRD-K77841042","Cyto","280.36","280.16745924","280.16745924","2","66.8","388","0","2","4","0","20","0","5","5","0","2","2","0","1","225.8","8.68","2.96","0.99","6","3","2","0","0","1","0","0.6","1.8","1"
"BRD-K60348325","Cyto","385.6","385.264374061","385.264374061","6.1","6.2","566","1","0","1","7","29","0","0","0","0","0","0","0","1","326.7","13.21","6.28","1.5","4","0","0","0","1","3","0","0.8","7","4"
"BRD-K76021681","Cyto","191.23","191.094628657","191.094628657","0.9","49.3","196","0","2","2","4","14","0","0","0","0","1","1","0","1","157","11.3","1.33","0.89","5","2","2","0","0","1","0","0.6","5","10"
"BRD-K42191735","Cyto","410.4","410.16780842","410.16780842","1.5","89.6","530","0","1","11","3","29","0","0","0","0","0","0","0","1","292","9.06","6.51","1.67","9","2","1","0","2","4","0","0.8","6.4","10"
"BRD-K96188950","Cyto","284.31","284.10485899","284.10485899","4.2","66.8","347","0","2","4","6","21","0","0","0","0","1","1","0","1","226.6","17.04","2.78","0.88","5","1","2","0","0","2","0","0.8","6","10"
"BRD-K11630072","Cyto","257.26","257.11756954","257.11756954","2.6","78.5","382","0","2","4","5","18","0","0","0","0","0","0","0","1","193.5","12.1","2.32","1.26","8","3","2","0","0","1","2","0.8","7","10"
"BRD-K00003273","Cyto","336.4","336.183778013","336.183778013","3","51.1","466","0","1","3","6","25","0","0","0","0","0","0","0","1","276.3","9.79","7.47","0.97","9","2","1","0","2","3","1","0.8","6","10"
"BRD-K47079459","Cyto","284.5","284.331725344","284.331725344","8","0","181","1","0","0","15","20","0","0","0","0","0","0","0","1","265.1","47.87","0.93","0.78","2","0","0","0","1","0","1","1.6","15","10"
"BRD-K79090631","Cyto","355.8","355.1199879","355.1199879","3.8","83","389","0","3","6","7","25","0","0","0","0","0","0","0","1","269.6","7.7","7.45","1.32","10","2","3","0","2","3","0","1","7","10"
"BRD-K13044802","Cyto","207.27","207.125928785","207.125928785","2","40.5","325","0","1","2","1","15","0","0","0","0","0","0","0","1","166.5","6.58","2.07","1.05","3","1","0","0","0","2","0","0.6","2.2","6"
