broad_id,InChIKey,Target,BDB Target
BRD-K76022557,VMWNQDUVQKEIOC-CYBMUJFWSA-N,"ADRA2A, ADRA2B, ADRA2C, CALY, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A","RUNX1, RUNX1, RUNX1, RUNX1, BCL2A1, MPI, BCL2L2, EIF4G1, MCL1, CTSL, APOBEC3G, DRD2, DRD2, DRD4, DRD2, DRD2, DRD4, DRD2, DRD4, DRD2, HTR1B, HTR1D, HTR2B, HTR2C, ADRA1A, ADRA1D, ADRB1, ADRB2, DRD2, DRD2, DRD4, DRD2, DRD2, DRD2, DRD2, SIGMAR1, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD4, DRD2, DRD2, DRD2, SIGMAR1, SIGMAR1, MDM2, MDM2, MDM2, DRD2, DRD2, ABCC3, ABCC4, DRD2, DRD2, DRD4, DRD2, SLC22A1, DRD2, DRD2, DRD2, KCNH2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2, DRD2"
BRD-K75516118,HJORMJIFDVBMOB-LBPRGKRZSA-N,"PDE4A, PDE4B, PDE4C, PDE4D, PDE5A","PDE4A, PDE4A, PDE4A, PDE4A, PDE3A"
BRD-K62353271,KPYSYYIEGFHWSV-QMMMGPOBSA-N,"GABBR1, GABBR2","GABBR1, GABBR1"
BRD-K65856711,HJORMJIFDVBMOB-GFCCVEGCSA-N,"PDE4B, PDE4D","PDE4A, PDE4A"
BRD-K89787693,OUPXSLGGCPUZJJ-SARDKLJWSA-N,TACR1,"TACR1, TACR1, TACR1, TACR1, TACR1, TACR1, TACR1"
BRD-K70329400,VQPBIJGXSXEOCU-UHFFFAOYSA-N,"GSK3A, GSK3B",
BRD-K59060513,MEAQCLPMSVEOQF-UHFFFAOYSA-N,RBP4,"RBP4, RBP4, RBP4, RBP4, RBP4"
BRD-K38019854,VQGBOYBIENNKMI-LJAQVGFWSA-N,P2RX3,"P2RX3, P2RX2, P2RX3, P2RX3, P2RX3, P2RX3, P2RX3, P2RX3, P2RX3"
BRD-A40302156,MMXSDWJOQSEPSM-MRXNPFEDSA-N,,
BRD-K06182768,BKCDJTRMYWSXMC-UHFFFAOYSA-N,"EHMT1, EHMT2","EHMT1, EHMT1"
BRD-K00005339,SAQMCVDGOIRQTC-UHFFFAOYSA-N,,"HTR1B, HTR6, HTR7, DRD4, DRD2, HRH1, HTR2C, DRD4, DRD4"
BRD-K62066682,JFCDMGGMCUKHST-UHFFFAOYSA-N,DRD4,"DRD4, DRD2, DRD4, DRD4, DRD2, DRD4, DRD4, DRD2, DRD4, DRD2, DRD4, DRD2"
BRD-K13223831,MMPAULQSJLVKHP-UHFFFAOYSA-N,P2RX7,
BRD-K30233223,VRVJKILQRBSEAG-LFPIHBKWSA-N,,"EP300, EP300, EP300, EP300, EP300"
BRD-K79743788,GTMRUYCIJSNXGB-GASCZTMLSA-N,CHRNA7,"CHRNA3, CHRNA4, CHRFAM7A, CHRFAM7A, HTR3A, CHRFAM7A, CHRFAM7A"
BRD-K00004225,OQFCXJDXHCDLHX-NSHDSACASA-N,"ADRA1A, ADRA1B, ADRA1D",ADRA1A
