broad_id,Target
BRD-K76022557,"ADRA2A, ADRA2B, ADRA2C, CALY, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A"
BRD-K75516118,"PDE4A, PDE4B, PDE4C, PDE4D, PDE5A"
BRD-K62353271,"GABBR1, GABBR2"
BRD-K65856711,"PDE4B, PDE4D"
BRD-K89787693,TACR1
BRD-K70329400,"GSK3A, GSK3B"
BRD-K59060513,RBP4
BRD-K38019854,P2RX3
BRD-A40302156,
BRD-K06182768,"EHMT1, EHMT2"
BRD-K00005339,
BRD-K62066682,DRD4
BRD-K13223831,P2RX7
BRD-K30233223,
BRD-K79743788,CHRNA7
BRD-K00004225,"ADRA1A, ADRA1B, ADRA1D"
BRD-K78177893,"AKT1, PKIA, PRKACA"
BRD-K03301001,
BRD-K41918892,
BRD-K87665527,TRPV1
BRD-K28570407,SCN10A
BRD-K94313941,P2RX7
BRD-K60427831,P2RX7
BRD-K33059059,"CHRNA3, CHRNA4, CHRNA7"
BRD-K20239555,SCN10A
BRD-K81614372,DGAT1
BRD-K99308908,SCD
BRD-K70744942,TRPA1
BRD-K68982262,"ADORA1, AVPR1A, CCR1, CHRM1, CHRM2, CHRM3, CHRM4, DRD3, HTR1A, HTR1B, HTR2A, HTR2B, HTR3A, TACR2"
BRD-K13944729,"GABRA1, GABRA4, GABRB3"
BRD-K00003450,
BRD-K00003109,
BRD-K17443395,
BRD-K77432251,
BRD-K00004970,"GABBR1, GABBR2"
BRD-K65498798,MMP9
BRD-K00003158,GNRHR
BRD-K00003108,
BRD-K01825984,SPHK2
BRD-K33622447,"CDK4, CDK6"
BRD-K50071428,"CYP11B1, CYP17A1"
BRD-K24048528,CYP17A1
BRD-K00004730,
BRD-A29844814,
BRD-K22749967,"HRH1, HRH2, HRH3"
BRD-K97233161,PTAFR
BRD-K11792081,"CACNA1G, CACNA1H, CACNA1I"
BRD-K36021395,ADK
BRD-K37714784,DRD4
BRD-K56301217,"BCL2, BCL2L1, BCL2L2"
BRD-K91623615,TUBB
BRD-K00004603,
BRD-K00003394,
BRD-K53788420,ESR2
BRD-K31144453,RARB
BRD-K81548480,F2RL1
BRD-A27911617,PARP2
BRD-K93176058,"RARA, RARB"
BRD-K15819326,"CSF1R, FLT3, KIT, PDGFRA, PDGFRB"
BRD-A49544621,UTS2R
BRD-K53448858,
BRD-K64034691,BTK
BRD-K92517771,"PIK3CB, PIK3CD"
BRD-K26262077,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5"
BRD-K44276885,"AMY2A, MGAM"
BRD-K68633617,GRM5
BRD-K00003255,
BRD-A29260609,ADRB1
BRD-K07753030,SCN5A
BRD-K01825000,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5"
BRD-K68538666,PTGS2
BRD-K97417064,
BRD-K47195926,
BRD-K44004064,ADORA1
BRD-K13619941,
BRD-K00003531,
BRD-K67563174,"PTGS1, PTGS2"
BRD-K36262466,"CES1, SELE, SELP"
BRD-A65051990,VKORC1
BRD-K37814297,"ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A"
BRD-K50850824,
BRD-K11094367,
BRD-K99048103,
BRD-K43457670,"AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7"
BRD-K52960356,"ABCC8, KCNJ1, KCNJ10, KCNJ11"
BRD-K21615095,MMP12
BRD-K42938903,"DRD1, DRD2"
BRD-K46416130,
BRD-K79437791,PPARG
BRD-K27406233,
BRD-A44696962,"HSD11B1, HSD11B2"
BRD-K82381502,"ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2"
BRD-K59058747,"ACY1, CHUK, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3A, GSS, IKBKB, RELA, SLC7A11"
BRD-K46585355,
BRD-K00004968,
BRD-K72215350,GAST
BRD-A29520968,"HCAR2, HCAR3"
BRD-K63736853,HCAR2
BRD-K74236708,
BRD-K62012036,"RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3"
BRD-K13050541,CTPS1
BRD-K31965398,"TOP1, TOP2A"
BRD-K74363950,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5"
BRD-K00004720,
BRD-K00003303,
BRD-K66465025,
BRD-M87138257,HIF1A
BRD-K97874492,HIF1A
BRD-M49658242,
BRD-K50163129,HRH1
BRD-M00184283,
BRD-K34843150,"EDNRA, EDNRB"
BRD-K19781342,"HCRTR1, HCRTR2"
BRD-K33483813,
BRD-K35936936,"KDR, TEK"
BRD-K16547679,
BRD-K08837089,
BRD-K00003220,
BRD-K82928847,"HDAC1, HDAC2, HDAC3, HDAC6, HDAC8"
BRD-K32318651,PNP
BRD-K10226125,
BRD-K00004583,
BRD-A80280426,AKR1B1
BRD-K33127281,"RARA, RARB, RARG, RXRA, RXRB, RXRG"
BRD-A73427433,"AKR1B1, GPI, HK1, M6PR, PYGM"
BRD-K37151368,CCR5
BRD-K00152668,"RARB, RARG"
BRD-K67789209,"HTR1A, HTR2A"
