broad_id,BDB Target,DC Target,DRH Target,TTD Target,Merged Target
BRD-K76022557,"HTR2B, ADRA1D, DRD4, SIGMAR1, EIF4G1, DRD2, HTR2C, CTSL, ADRB1, HTR1B, BCL2A1, RUNX1, ABCC3, BCL2L2, MDM2, MCL1, ADRB2, APOBEC3G, SLC22A1, ADRA1A, KCNH2, ABCC4, HTR1D, MPI","HTR2B, ADRA1D, DRD1, DRD4, DRD2, ADRA2A, ADRA2C, HTR2C, HTR1A, HTR2A, TRPA1, HTR1B, ADRA2B, MDM2, DRD3, ADRA1B, SLC22A1, DRD5, ADRA1A, HTR1D, MPI","ADRA2A, ADRA2B, ADRA2C, CALY, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A","ABCB11, DRD1, MDM2, HTR1A, DRD4, DRD3, ABCC2, SIGMAR1, DRD2, ABCC4","HTR2B, ADRA1D, DRD1, DRD4, ABCC2, SIGMAR1, EIF4G1, DRD2, ADRA2A, ADRA2C, HTR2C, CTSL, HTR1A, HTR2A, TRPA1, HTR1B, ADRB1, BCL2A1, RUNX1, ABCC3, ADRA2B, BCL2L2, HTR5A, CALY, MCL1, MDM2, DRD3, ADRB2, ABCB11, ADRA1B, APOBEC3G, SLC22A1, DRD5, ADRA1A, KCNH2, ABCC4, HTR1D, MPI"
BRD-K75516118,"PDE3A, PDE4A",,"PDE4A, PDE4B, PDE4C, PDE4D, PDE5A","PDE4D, PDE4B, PDE4A, PDE4C","PDE5A, PDE4C, PDE4D, PDE4B, PDE3A, PDE4A"
BRD-K62353271,GABBR1,,"GABBR1, GABBR2",,"GABBR2, GABBR1"
BRD-K65856711,PDE4A,,"PDE4B, PDE4D","PDE4D, PDE4A","PDE4D, PDE4B, PDE4A"
BRD-K89787693,TACR1,,TACR1,,TACR1
BRD-K70329400,,,"GSK3A, GSK3B",,"GSK3A, GSK3B"
BRD-K59060513,RBP4,,RBP4,,RBP4
BRD-K38019854,"P2RX2, P2RX3",,P2RX3,,"P2RX2, P2RX3"
BRD-A40302156,,,,,
BRD-K06182768,EHMT1,,"EHMT1, EHMT2",,"EHMT1, EHMT2"
BRD-K00005339,"HTR2C, DRD4, HRH1, HTR7, HTR6, DRD2, HTR1B",,,"ADRA2C, HTR2C, DRD5, DRD1, HTR1A, TMEM97, DRD4, DRD3, HRH1, HTR2A, HTR7, HTR6, DRD2, ADRA2A, HTR1B","ADRA2C, HTR2C, DRD5, DRD1, HTR1A, TMEM97, DRD4, DRD3, HRH1, HTR2A, HTR7, HTR6, DRD2, ADRA2A, HTR1B"
BRD-K62066682,"DRD2, DRD4",,DRD4,,"DRD2, DRD4"
BRD-K13223831,,,P2RX7,,P2RX7
BRD-K30233223,EP300,,,,EP300
BRD-K79743788,"CHRNA3, HTR3A, CHRNA4, CHRFAM7A",,CHRNA7,,"HTR3A, CHRNA4, CHRFAM7A, CHRNA7, CHRNA3"
BRD-K00004225,ADRA1A,,"ADRA1A, ADRA1B, ADRA1D",,"ADRA1B, ADRA1D, ADRA1A"
