broad_id,InChIKey,Target,TTD Target
BRD-K76022557,VMWNQDUVQKEIOC-CYBMUJFWSA-N,"ADRA2A, ADRA2B, ADRA2C, CALY, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR5A","HTR1A, ABCC4, DRD3, DRD2, DRD4, ABCC2, ABCB11, MDM2, DRD1, SIGMAR1"
BRD-K75516118,HJORMJIFDVBMOB-LBPRGKRZSA-N,"PDE4A, PDE4B, PDE4C, PDE4D, PDE5A","PDE4A, PDE4C, PDE4D, PDE4B"
BRD-K62353271,KPYSYYIEGFHWSV-QMMMGPOBSA-N,"GABBR1, GABBR2",
BRD-K65856711,HJORMJIFDVBMOB-GFCCVEGCSA-N,"PDE4B, PDE4D","PDE4A, PDE4D"
BRD-K89787693,OUPXSLGGCPUZJJ-SARDKLJWSA-N,TACR1,
BRD-K70329400,VQPBIJGXSXEOCU-UHFFFAOYSA-N,"GSK3A, GSK3B",
BRD-K59060513,MEAQCLPMSVEOQF-UHFFFAOYSA-N,RBP4,
BRD-K38019854,VQGBOYBIENNKMI-LJAQVGFWSA-N,P2RX3,
BRD-A40302156,MMXSDWJOQSEPSM-MRXNPFEDSA-N,,
BRD-K06182768,BKCDJTRMYWSXMC-UHFFFAOYSA-N,"EHMT1, EHMT2",
BRD-K00005339,SAQMCVDGOIRQTC-UHFFFAOYSA-N,,"HTR7, DRD5, HTR6, HTR1A, DRD3, DRD2, DRD4, HRH1, ADRA2A, HTR2C, ADRA2C, HTR2A, TMEM97, HTR1B, DRD1"
BRD-K62066682,JFCDMGGMCUKHST-UHFFFAOYSA-N,DRD4,
BRD-K13223831,MMPAULQSJLVKHP-UHFFFAOYSA-N,P2RX7,
BRD-K30233223,VRVJKILQRBSEAG-LFPIHBKWSA-N,,
BRD-K79743788,GTMRUYCIJSNXGB-GASCZTMLSA-N,CHRNA7,
BRD-K00004225,OQFCXJDXHCDLHX-NSHDSACASA-N,"ADRA1A, ADRA1B, ADRA1D",
BRD-K78177893,BPNUQXPIQBZCMR-IBGZPJMESA-N,"AKT1, PKIA, PRKACA","KCNH2, AKT1, PRKCG, KDR, FLT1, PDPK1, PRKCD, MAPKAPK2, ROCK1, RPS6KA3, KIT, SRC, CHEK1, CDK2, MAPK1, GSK3B, FLT3"
BRD-K03301001,JLUUJHIQVIXTGT-UHFFFAOYSA-N,,
BRD-K41918892,CTESJDQKVOEUOY-UHFFFAOYSA-N,,
BRD-K87665527,SDUAWRFBHRAFBM-UHFFFAOYSA-N,TRPV1,
BRD-K28570407,VHKBTPQDHDSBSP-UHFFFAOYSA-N,SCN10A,"OPRL1, TSPO, CCKAR, HTR7, KCNH2, SCN5A, TRPV1, DRD5, CCR1, P2RX3, HTR6, HTR1A, HTR5A, OPRM1, CHRM2, DRD3, KCNQ2, HRH2, DRD2, KCNQ3, CNR2, CHRM5, DRD4, SCN2A, CHRM3, HRH1, CHRM1, HTR3A, SCN9A, ADORA2A, P2RY2, OPRK1, SCN3A, CACNA1B, ADRA2A, HTR2C, ADRA2B, EDNRA, OPRD1, HTR2A, ADRA1B, ADORA3, CXCR2, HTR1B, CNR1, SCN10A, ADORA1, DRD1, SIGMAR1, CHRM4"
BRD-K94313941,PQYCRDPLPKGSME-AWEZNQCLSA-N,P2RX7,
BRD-K60427831,GMVNBKZQJFRFAR-UHFFFAOYSA-N,P2RX7,
BRD-K33059059,ABACVOXFUHDKNZ-UHFFFAOYSA-N,"CHRNA3, CHRNA4, CHRNA7","KCNH2, CYP3A4, CYP2D6, CHRNA7, CYP2C9"
BRD-K20239555,JPJGFWKHSMUKFO-UHFFFAOYSA-N,SCN10A,
BRD-K81614372,BOZRFEQDOFSZBV-DHIUTWEWSA-N,DGAT1,DGAT1
BRD-K99308908,DPYTYQFYDLYWHZ-UHFFFAOYSA-N,SCD,
BRD-K70744942,HKROEBDHHKMNBZ-CHBKHGQFSA-N,TRPA1,
BRD-K68982262,DJKJVWJQAVGLHJ-YPMHNXCESA-N,"ADORA1, AVPR1A, CCR1, CHRM1, CHRM2, CHRM3, CHRM4, DRD3, HTR1A, HTR1B, HTR2A, HTR2B, HTR3A, TACR2",
BRD-K13944729,SCOOTUMXCXKEAD-UHFFFAOYSA-N,"GABRA1, GABRA4, GABRB3",
BRD-K00003450,HFZITXBUTWITPT-YWVKMMECSA-O,,
BRD-K00003109,BBLXLHYPDOMJMO-SNVBAGLBSA-N,,
BRD-K17443395,MCGSCOLBFJQGHM-SCZZXKLOSA-N,,
BRD-K77432251,TYBHXIFFPVFXQW-UHFFFAOYSA-N,,
BRD-K00004970,ZFUKERYTFURFGA-PVVXTEPVSA-N,"GABBR1, GABBR2",
BRD-K65498798,PTRATZCAGVBFIQ-UHFFFAOYSA-N,MMP9,
BRD-K00003158,AIWRTTMUVOZGPW-HSPKUQOVSA-N,GNRHR,
BRD-K00003108,LQPFCYWRBQRRGE-UHFFFAOYSA-N,,
BRD-K01825984,CAOTVXGYTWCKQE-BRNYJPRKSA-N,SPHK2,
BRD-K33622447,UZWDCWONPYILKI-UHFFFAOYSA-N,"CDK4, CDK6","KCNH2, CDK7, CDK6, CDK9, DYRK1A, CDK9-CCNT1, CDK4, PIM1, CDK2, CDK1"
BRD-K50071428,GZOSMCIZMLWJML-VJLLXTKPSA-N,"CYP11B1, CYP17A1","CYP11B1, CYP19A1, CYP17A1, ABCC4, CYP3A4, ABCC2, ABCB11, CYP11B2"
BRD-K24048528,UVIQSJCZCSLXRZ-UBUQANBQSA-N,CYP17A1,"CYP17A1, AR"
BRD-K00004730,XMZSTQYSBYEENY-RMKNXTFCSA-N,,
BRD-A29844814,LVGMMVAWLISWJD-QMMMGPOBSA-N,,
BRD-K22749967,KFHYZKCRXNRKRC-MRXNPFEDSA-N,"HRH1, HRH2, HRH3","KCNH2, HRH3"
BRD-K97233161,GDLNHSUSOZEAOR-UHFFFAOYSA-N,PTAFR,
BRD-K11792081,AGPIHNZOZNKRGT-CYBMUJFWSA-N,"CACNA1G, CACNA1H, CACNA1I","CYP3A4, CYP2D6, CACNA1H, AHR, CYP2C9, NR1I2"
BRD-K36021395,RQCXKDWOCUJWQZ-UHFFFAOYSA-N,ADK,
BRD-K37714784,FRPJGTNLZNXQEX-UHFFFAOYSA-N,DRD4,"HTR1A, DRD2, DRD4"
