index,pagerank,betweenness,closeness,eigenvector,katz,local_clustering,degree
MRPL22,1.1282209562272073e-05,2.1202372636896835e-07,0.2943387818248788,1.0912386895780968e-05,0.0013074344731685888,0.015151515151515152,11
AKAP2,1.2339194949844072e-05,0.0,0.0,0.0005240116112393223,0.0017516378249948154,0.2,0
MEP1A,1.2477176042266313e-05,0.0,0.0,0.0003338469438226546,0.0015934884655799597,0.0,0
COX6A1,2.9351808859062124e-05,2.19005687783887e-06,0.24897048013029355,0.0030170910705157187,0.003911672489971061,0.06769230769230769,2
MPZL2,2.8456005173969732e-05,0.0,0.0,0.00020596995463749304,0.0014568110131373197,0.0,0
SLC50A1,3.1079477523253536e-05,6.591690118556046e-05,0.3337823293982598,0.003343967448660955,0.004193395374407081,0.07451923076923077,39
NUPL2,3.256888602027976e-05,6.373869814084371e-06,0.29768102781418165,0.0032320244985885706,0.004249620970246717,0.057624113475177305,10
DTNBP1,8.843374367642243e-05,1.9219196649730503e-05,0.2978651666498186,0.007916951260402476,0.008395262252938528,0.07462378890950319,18
KAT8,1.551906310079414e-05,1.3422402197964663e-06,0.2754111593179131,0.0010502715661597085,0.0022400366251367344,0.08496732026143791,7
HIST1H2BA,0.00011569735527507654,4.824780568815407e-05,0.31405509030366024,0.008224659260839522,0.008635740222179724,0.05844376486578321,27
RNASE13,1.6693845640359252e-05,8.533274569584548e-08,0.2387184033132842,0.0009252753925521564,0.002139466697901759,0.10606060606060606,1
CUX2,7.325845055144043e-05,3.282542453059438e-05,0.3215980560319714,0.007141143543128972,0.007622732845647296,0.09943865276663993,20
RAB1C,1.2790272469009846e-05,2.6623798467984106e-07,0.2970369622977525,0.0003175098603164729,0.00157072407454813,0.10714285714285714,5
MSTN,4.5806043138744836e-05,3.104129553721997e-05,0.3264638617024361,0.00540680180741048,0.006022030092371566,0.07472613458528951,26
IKZF2,1.074451762456725e-05,0.0,0.0,2.2952803426826064e-06,0.001300839027771169,0.0,0
CHRAC1,4.260575394212543e-05,8.789875037394552e-07,0.2652204621127928,0.0028235368122457847,0.0037937066268748055,0.04433497536945813,2
MRPL42,8.40721675361487e-05,9.811070781918488e-05,0.31677260955835873,0.007846109076743926,0.008487136546906651,0.06044226044226044,19
LRP5L,4.86781731535052e-05,8.765290086947351e-05,0.3524745232569307,0.004755947008258804,0.005467664793967559,0.05598779557589626,75
NAPEPLD,0.00012852443333361357,1.2674909698266224e-05,0.25569701293895675,0.013510675169499331,0.013425092330303017,0.06922385376086305,3
RAD23B,6.3040973477864e-05,4.2418827666098987e-05,0.31339084518880445,0.005545386507139271,0.006181928470062526,0.07155399473222125,18
RNVU1-7,2.5686489658428897e-05,1.269841290982867e-05,0.3041250462448771,0.0009123920254638995,0.0020240131990079155,0.09090909090909091,8
SNORA16A,1.190551532935996e-05,0.0,0.0,1.4292508763881079e-05,0.0013099307618808136,0.0,0
EMC1,1.4948893225523906e-05,0.0,0.0,6.870835521616741e-05,0.0013663699506282817,0.0,0
SLC35E3,5.910704927617115e-05,3.426248969453447e-05,0.32039736992562456,0.0058977923713046205,0.006523624181696609,0.05898876404494382,34
TMEM154,0.00015948794017423102,1.145180621117962e-05,0.282401708539313,0.017666443374554794,0.016885309111661084,0.07914867833068243,6
TMCO4,1.1895204652852265e-05,7.914009881475547e-07,0.30914556216994027,0.00012871456975004956,0.0014211257555267812,0.13636363636363635,9
TUBA1C,1.0893337545266798e-05,0.0,0.0,0.0001981485379759662,0.001452611282193726,0.0,0
SLC25A37,8.016930566528953e-05,0.0001026034727539589,0.33448020717715854,0.006624907324253889,0.00711094084871687,0.08689809630459126,38
RNASE10,1.0755251348030327e-05,5.884456115576919e-07,0.34365772037797604,7.470423826689175e-05,0.0013682001107489237,0.027170868347338936,83
XCL2,7.084892440794715e-05,5.439755816719954e-05,0.27883496451752127,0.0033752400422889864,0.004361751760652851,0.04141414141414142,7
SLC18B1,2.1438174785011958e-05,3.820425744442554e-06,0.3116671711565868,0.0010818833265268855,0.0023416809109782946,0.059770114942528735,12
PNCK,1.1372191452809754e-05,8.317219792821265e-09,0.24636442913356438,0.0002724665571487788,0.0015074280356528066,0.0,1
CYP4F12,2.50864768147204e-05,9.49334108380022e-06,0.30000756734937617,0.002296693945293775,0.003333920867341992,0.05272895467160037,25
MECP2,1.8116627176583905e-05,2.1579956126993922e-06,0.2801466384152103,0.00156632853842435,0.00268689093021503,0.10666666666666667,9
MLKL,0.00013129279650181717,5.159347772927717e-05,0.3035196582920975,0.011967399456711733,0.012026793081002168,0.07921286584756768,19
HNF1B,1.2144206485194812e-05,9.432872210036996e-06,0.3827842800927691,0.0002655135912717463,0.0015811425757045873,0.038527691778465774,164
HELZ2,1.1928185286810514e-05,4.0658823627640945e-07,0.30509955268553024,6.985629462794658e-05,0.0013553790183243048,0.0,13
SPTSSA,1.506253139355173e-05,1.7952582757745233e-08,0.23138840441835226,0.0003998113601305989,0.0016311032263690618,0.3333333333333333,1
EPHA8,4.614924960476801e-05,1.8122259490385458e-05,0.3072966064641598,0.00391647370207708,0.004760077036136134,0.11085972850678733,16
LBH,7.818234915991301e-05,1.41810017500434e-06,0.24348883635785948,0.007024542102184666,0.007726632170067933,0.06347340581839553,1
LTBP4,1.4246239869684644e-05,0.0,0.0,0.000444499842154166,0.0016645424872531178,0.0,0
FBXL16,5.8211004425031084e-05,0.0,0.0,0.003131719628580182,0.00399661599411052,0.09420289855072464,0
C7orf73,2.1236662593498783e-05,6.085525542733945e-06,0.3175629771633759,0.002058906844391913,0.0030497414230258595,0.08571428571428572,22
C20orf141,0.00011721728385129746,0.0003644136486796518,0.37112215383574954,0.008110402093564716,0.008547151754714663,0.04285580903177617,174
HAND2,1.1181253163346537e-05,0.0,0.0,0.00019843368457732652,0.0014495625798164216,0.0,0
TSPAN3,4.0598217786178855e-05,1.711874329213929e-06,0.2828885413513396,0.0005476299784889864,0.001771089360909151,0.05454545454545454,6
ARV1,1.3314169269194127e-05,5.039690444272855e-07,0.27612249016242923,0.0004661514687397127,0.0016967920318264565,0.0,5
FOXL1,3.7179627423027776e-05,0.00019808339291780465,0.4000739918608429,0.0027404320886158344,0.0037561151100024134,0.04452481414506731,288
PMPCB,5.977692994781428e-05,8.61730451458218e-05,0.31866696936060024,0.004296787866195274,0.00519463629435183,0.05826330532212885,37
CASC9,1.0896785185902427e-05,5.036814660116614e-08,0.29330457740554733,5.930971418446953e-05,0.0013442582093926834,0.0,8
RNF213,5.459559593492951e-05,4.823799694686811e-05,0.2628199307167012,0.0015145739110114286,0.002649333657885944,0.0915032679738562,2
FCGBP,1.1181171211394703e-05,0.0,0.0,0.00026860611607845827,0.0015448487008823644,0.0,0
MIR222,0.00011390385982299246,0.00028744122650591064,0.353605421585387,0.009906286327539574,0.010005245349860217,0.04754810676598386,93
