source	target
NUMB	LNX1
NUMB	ITCH
NUMB	DPYSL2
NUMB	TRPV6
NUMB	TP53
NUMB	GLI1
NUMB	LNX2
NUMB	EAF1
NUMB	PDZK1IP1
NUMB	SPANXN2
PNPLA4	ATP2B3
PNPLA4	SNX11
PNPLA4	TIGAR
LINC01547	RBPMS
LINC01547	BANP
LINC01547	PLSCR1
FBXO9	EEF2
ARID1A	SMARCA2
ARID1A	SMARCC2
ARID1A	SMARCE1
ARID1A	SMARCB1
ARID1A	SMARCD1
ARID1A	SMARCC1
ARID1A	ARID1B
ARID1A	SMARCD3
ARID1A	PHF10
ARID1A	SMARCD2
ARID1A	MLLT1
ACVR1C	TDGF1
ACVR1C	NODAL
ACVR1C	INHBB
SLC17A8	YIPF6
SLC17A8	CYP4F2
SLC17A8	TMEM120B
CREB3L1	TMEM11
CREB3L1	FXYD3
CREB3L1	TMEM128
CREB3L1	FBXW7
CREB3L1	CREB3L2
CREB3L1	UHRF1BP1
CREB3L1	TRRAP
CREB3L1	AP3B1
CREB3L1	USP22
CREB3L1	SLC13A3
CREB3L1	ALG8
CREB3L1	AGPAT3
CREB3L1	TLCD1
CREB3L1	PAQR6
CREB3L1	CXCL16
CREB3L1	ZFPL1
CREB3L1	BMP10
CREB3L1	RFT1
CREB3L1	TEX264
CREB3L1	C4orf3
CREB3L1	SLC39A2
CREB3L1	SMCO4
CREB3L1	FAM96A
CREB3L1	STX3
CREB3L1	VKORC1
CREB3L1	AQP2
CREB3L1	ENTPD3
CREB3L1	SCGB1D1
CREB3L1	TMEM208
CREB3L1	NSG1
CREB3L1	PTPN9
CREB3L1	CSGALNACT2
CREB3L1	ITGAM
CREB3L1	GPR37L1
CREB3L1	FAXDC2
CREB3L1	STX8
CREB3L1	C11orf24
CREB3L1	LPAR3
CREB3L1	COL8A2
CREB3L1	NINJ2
CREB3L1	MAL
CREB3L1	GPR151
CREB3L1	ARV1
CREB3L1	TNFRSF10C
CREB3L1	SLC16A13
CREB3L1	TRAM1L1
CREB3L1	CNIH2
CREB3L1	OR10AG1
CREB3L1	DOLK
CREB3L1	SLC35A4
CREB3L1	BNIP3
CREB3L1	ZDHHC22
CREB3L1	ADIPOQ
CREB3L1	TMIE
CREB3L1	YIPF6
CREB3L1	RNASE10
CREB3L1	BRICD5
CREB3L1	GAST
CREB3L1	ANKRD46
CREB3L1	CYP4F2
CREB3L1	TMEM222
CREB3L1	RHD
CREB3L1	TMEM203
CREB3L1	TMEM120B
CREB3L1	APOD
CREB3L1	GIMAP5
CREB3L1	LHFPL5
CREB3L1	TMEM229B
CREB3L1	TMEM239
CREB3L1	COX20
CREB3L1	PLPP4
CREB3L1	NEU1
CREB3L1	MS4A13
CREB3L1	CTXN3
CREB3L1	PLPP6
CREB3L1	HACD2
CREB3L1	SACM1L
CREB3L1	GIMAP1
CREB3L1	LTC4S
CREB3L1	SYNJ2BP
CREB3L1	VAMP2
CREB3L1	TNF
CREB3L1	SMIM1
CREB3L1	MGAM
CREB3L1	TIMM23
CREB3L1	SEC22B
CREB3L1	CCL4L2
SIX6	TLE1
LPAL2	VAC14
RHEB	CREB3
RHEB	UBB
RHEB	LAMP2
RHEB	SRPRB
RHEB	BNIP3L
RHEB	BRAF
RHEB	RPTOR
RHEB	MLST8
RHEB	RABAC1
MFSD4B	VSTM1
PFDN1	PFDN2
PFDN1	PFDN5
PFDN1	PFDN6
PFDN1	PFDN4
PFDN1	AARSD1
PFDN1	DPP8
PFDN1	FEN1
PFDN1	PPP2CA
PFDN1	PRKACB
PFDN1	PRPS1
PFDN1	SH3GL1
PFDN1	TSN
PFDN1	UGGT1
PFDN1	MED31
PFDN1	GIT1
PFDN1	HAP1
PFDN1	CEP126
PFDN1	LRIF1
PFDN1	RPLP1
PFDN1	GPRASP1
PFDN1	HIP1
PFDN1	IMMT
PFDN1	PSME1
PFDN1	SYNDIG1
PFDN1	DEFA1
PFDN1	EIF3C
PFDN1	HMGXB3
PFDN1	NDC80
PFDN1	EDRF1
PFDN1	EXT2
PFDN1	RMI1
PFDN1	CHGA
PFDN1	EZH2
PFDN1	INPP5K
PFDN1	RPS28
PFDN1	BRK1
PFDN1	EOMES
PFDN1	FAM20C
PFDN1	KIAA0408
PFDN1	DCTN1
PFDN1	PDE4DIP
PFDN1	EIF4A2
PFDN1	SUMO3
PFDN1	CCDC85A
PFDN1	ESS2
PFDN1	PLXNB2
PFDN1	SPTBN4
PFDN1	PDHB
PFDN1	NR2F1
PFDN1	SEC31A
PFDN1	JADE1
PFDN1	TTC38
PFDN1	ALB
PFDN1	IFT140
PFDN1	PRKD2
PFDN1	ASNA1
PFDN1	HOXD8
PFDN1	PTN
PFDN1	SNX5
PFDN1	ZNF235
PFDN1	DMAP1
BRAP	CDC14A
BRAP	USP15
BRAP	YJU2
COL3A1	SPARC
COL3A1	PCOLCE
KRT28	WASHC1
KRT28	KRT6B
KRT28	KRT79
KRT28	KRT5
KRT28	KRT3
KRT28	CCDC196
KRT28	KRT6A
KRT28	KRT81
LMAN2L	PTGS2
LMAN2L	CNTNAP1
LMAN2L	ABCA2
LMAN2L	ITGA1
LMAN2L	SUSD1
LMAN2L	TMEM245
LMAN2L	TENM3
LMAN2L	LNPEP
LMAN2L	ACP2
LMAN2L	CACNA2D1
LMAN2L	KIAA0319L
LMAN2L	COLEC12
LMAN2L	ADAM17
LMAN2L	ARSK
LMAN2L	ENPP4
LMAN2L	TTC17
LMAN2L	RNF149
LMAN2L	MRC2
LMAN2L	UGT8
LMAN2L	MFAP3
LMAN2L	MAL
MILR1	RYK
MILR1	PLAA
MILR1	INPPL1
MILR1	GBF1
MILR1	PTPRD
MILR1	FHL2
MILR1	GLMN
GPRC5C	ZNF277
GPRC5C	OLA1
GPRC5C	GOLPH3L
GPRC5C	NMT2
GPRC5C	PCYT1A
GPRC5C	BAIAP2L1
GPRC5C	NMT1
GPRC5C	GOLPH3
GPRC5C	NNT
GPRC5C	C17orf75
GPRC5C	MIA2
GPRC5C	SLC7A1
GPRC5C	SNX17
GPRC5C	FAM8A1
GPRC5C	BAG1
GPRC5C	FHL2
GPRC5C	PXK
GPRC5C	BTBD9
PPM1F	CAMK2A
PPM1F	PAK2
PPM1F	PAK1
PPM1F	CAMK1
PPM1F	CAMK4
PPM1F	KLHL8
KIAA0930	YWHAH
KIAA0930	YWHAE
KIAA0930	WRN
KIAA0930	SFN
KIAA0930	KLHL11
KIAA0930	FRYL
KIAA0930	ATG7
KIAA0930	CDK5RAP1
KIAA0930	SIRT2
KIAA0930	ITGB3BP
KIAA0930	CEP44
EGF	EGFR
EGF	PIK3R2
EGF	ERBB2
EGF	GRB2
EGF	GRK2
PROSER3	CCDC57
PROSER3	SGF29
PROSER3	ZNF396
PROSER3	CCHCR1
CLASP2	CLASP1
CLASP2	IBTK
CLASP2	ZNF598
CLASP2	PPHLN1
CLASP2	UBP1
CLASP2	GOPC
CLASP2	FAM43A
C19orf73	TFCP2
C19orf73	KRT31
C19orf73	KRT40
AOC1	DNM1
AOC1	PCLO
AOC1	ZC3H10
AOC1	POGZ
AOC1	TIAL1
AOC1	WDYHV1
AOC1	FOXH1
AOC1	TLX3
AOC1	RBPMS2
AOC1	DAZAP2
AOC1	KRTAP8-1
WIPF3	VSTM2L
RBL1	DHX30
RBL1	DYRK1B
RBL1	RBBP8
RBL1	BEGAIN
RBL1	IRF3
RBL1	E2F1
RBL1	BRCA1
RBL1	MYBL2
RBL1	RBL2
RBL1	MYC
RBL1	TFDP1
RBL1	PPP2R3A
RBL1	TFDP2
FHIT	UBE2I
FHIT	HSPE1
FHIT	HSPD1
FHIT	MTMR6
FHIT	CTNNB1
KANSL1	NECAB2
KANSL1	KRT15
KANSL1	PSME3
KANSL1	TRAF2
KANSL1	CALCOCO2
KANSL1	CCDC85B
KANSL1	USHBP1
KANSL1	CEP70
KANSL1	NINL
KANSL1	GOLGA2
KANSL1	FSD2
KANSL1	CCDC136
KANSL1	TRIM27
KANSL1	NUP62
KANSL1	MAGEA12
KANSL1	CDR2
KANSL1	NUTM1
KANSL1	PNMA1
KANSL1	HOOK2
KANSL1	DTNBP1
KANSL1	SPAG5
KANSL1	TRAF4
KANSL1	KIFC3
KANSL1	TFIP11
KANSL1	PHF20
KANSL1	PHF20L1
KANSL1	KANSL2
KANSL1	TRAF1
KANSL1	DUS2
KANSL1	MCRS1
KANSL1	FOXK2
KANSL1	ECI2
KANSL1	TPM2
AMIGO3	TMEM268
AMIGO3	GOLPH3
AMIGO3	C1QL4
AMIGO3	FBXO2
AMIGO3	SEL1L
AMIGO3	UFSP2
AMIGO3	CANX
AMIGO3	SLC22A18
AMIGO3	OMA1
AMIGO3	ZDHHC17
POLR3K	POLR1C
POLR3K	TRIM69
POLR3K	CENPP
PHF21A	HIST2H3C
PHF21A	LPXN
PHF21A	NUP62
PHF21A	TRAF1
PHF21A	FHL3
PHF21A	ZYX
PHF21A	KRT40
PHF21A	BANP
PHF21A	KDM1A
PHF21A	SP3
PHF21A	L3MBTL3
GLO1	PNP
GLO1	AKR1B1
GLO1	GLOD4
GLO1	ATIC
GLO1	FABP5
GLO1	HNRNPA1
GLO1	IMPA2
GLO1	STIP1
GLO1	GRHPR
GLO1	ACY1
GLO1	PSMG4
GLO1	TKT
GLO1	AKR1B15
GLO1	QDPR
GLO1	PGM3
GLO1	HSPE1
GLO1	PGP
GLO1	PPA1
MYO10	ECPAS
ING1	HIST2H3C
ING1	TP53
ING1	CDKN1A
NUBP2	NBPF19
NUBP2	KRTAP10-7
NUBP2	TNS2
NUBP2	NOTCH2NL
NUBP2	PEX19
NUBP2	VBP1
NUBP2	PFDN6
NUBP2	RBBP6
NUBP2	RHOA
NUBP2	THADA
NUBP2	UBXN7
NUBP2	PAIP1
NUBP2	PIPSL
NUBP2	PPP2CA
NUBP2	PTMA
NUBP2	SRSF2
NUBP2	STAT6
NUBP2	STUB1
NUBP2	TARDBP
NUBP2	NUDC
NUBP2	PFDN1
NUBP2	PPP1R14B
NUBP2	PPP4R2
NUBP2	PSMD6
NUBP2	RAD23B
NUBP2	YAP1
NUBP2	PABPC4
NUBP2	PSMD4
NUBP2	PSME1
NUBP2	PTMS
NUBP2	S100A9
NUBP2	SEC24A
NUBP2	USP9X
NUBP2	ZRANB2
NUBP2	NUBP1
NUBP2	UBA6
NUBP2	CDK5
NUBP2	UCK1
NUBP2	MDFI
NUBP2	NUBPL
NUBP2	KRTAP9-8
NUBP2	KRTAP1-1
NUBP2	INCA1
NUBP2	CYSRT1
PNP	TMEM177
PNP	GMPS
PNP	MTAP
PNP	PSAT1
PNP	PSMD5
PNP	RAB1A
PNP	TKT
PNP	APLP1
PNP	LRIF1
PNP	CCDC90B
PNP	TP53
PNP	ZHX1
PNP	RBM48
PNP	TRAPPC4
PHACTR1	CBX8
PHACTR1	C14orf119
CDK9	HEXIM1
CDK9	NR2E3
CDK9	CCNK
CDK9	TRAF2
CDK9	ZMYM6
CDK9	HSP90AB1
CDK9	DHX30
