0,theta,r
AR,3.71947,36.3754
C2,0.483418,43.0376
C3,6.16603,40.0666
C5,0.532791,42.5105
C6,6.271,44.3814
C7,6.05436,58.4428
C9,6.25821,44.9798
CP,1.15688,42.7364
CS,1.85942,42.5853
F2,6.19676,40.4488
F3,1.38695,42.197
F5,6.21427,42.5956
F7,6.21973,43.5926
F8,6.2085,42.502
F9,6.1623,40.2913
FH,2.1903,38.6066
GC,2.41651,42.5305
GK,0.320554,40.1118
HP,1.10508,42.6364
HR,4.9331,41.1745
IK,3.90456,39.4007
KL,1.60442,46.0584
KY,4.87248,45.6763
MB,1.03337,47.0853
PC,1.35286,39.5345
SI,1.59915,45.7898
TF,0.576945,40.4401
TG,5.95639,45.6711
TH,1.68997,40.7055
XK,1.73106,43.9603
A2M,6.18163,39.2957
ABO,0.643873,46.0349
ABR,5.98283,47.8444
ACD,3.12073,43.2107
ACE,6.17793,44.1761
ACR,0.0395412,46.3537
ADA,1.11067,42.7434
ADK,2.20016,43.0372
ADM,1.07892,44.4442
ADO,4.6475,43.9222
AEN,5.4841,40.3955
AES,5.04814,35.1267
AFM,2.59314,45.6747
AFP,0.768012,45.3718
AGA,0.920036,43.6976
AGK,0.953971,43.2092
AGL,2.15214,41.0499
AGT,6.08809,42.0665
AHR,4.04965,41.6197
AIP,1.92598,41.4324
AK1,3.03496,42.3182
AK2,2.18407,40.7148
AK3,5.64742,43.8901
AK4,1.92262,44.2934
AK5,2.27174,44.4139
AK6,3.61269,43.2101
AK7,1.23822,45.2074
AK8,5.70747,42.3305
AK9,2.31706,43.5845
ALB,1.80507,40.7228
ALK,2.02866,40.5644
AMH,0.985239,45.3062
AMT,4.87515,47.2133
ANG,5.80196,43.6372
APC,3.51465,38.4276
APP,6.07111,36.632
AQR,3.89634,41.1732
ARC,2.43731,43.7508
ARX,2.42432,42.3696
ASL,2.3915,43.1873
ATM,3.67514,36.2186
ATR,1.11616,37.3969
AUH,1.92291,44.9745
AVP,6.05512,41.2614
AXL,1.57567,40.5755
B2M,0.102117,40.3497
BAD,3.01385,38.5756
BAX,1.91641,38.824
BBX,3.77184,42.375
BCR,1.535,39.3809
BGN,6.03478,43.2836
BID,1.92972,39.1881
BIK,0.527241,38.8662
BLK,1.52898,39.3311
BLM,3.61264,40.2523
BMF,4.95439,42.0189
