permutation_no,model,pvalue,bonferroni,sign,sign_bonferroni
0,No-Effect vs. Effect,3.264351028208466e-23,3.2643510282084663e-21,yes,yes
1,No-Effect vs. Effect,2.1527902350655218e-18,2.1527902350655217e-16,yes,yes
2,No-Effect vs. Effect,4.448755933546528e-21,4.448755933546528e-19,yes,yes
3,No-Effect vs. Effect,6.219533274505855e-22,6.219533274505855e-20,yes,yes
4,No-Effect vs. Effect,3.41777306552621e-19,3.41777306552621e-17,yes,yes
5,No-Effect vs. Effect,2.7759215945579285e-23,2.7759215945579284e-21,yes,yes
6,No-Effect vs. Effect,1.3678695943690725e-22,1.3678695943690724e-20,yes,yes
7,No-Effect vs. Effect,4.8701013268989284e-21,4.870101326898928e-19,yes,yes
8,No-Effect vs. Effect,1.6812673413162698e-23,1.6812673413162699e-21,yes,yes
9,No-Effect vs. Effect,6.235218790416699e-23,6.235218790416699e-21,yes,yes
10,No-Effect vs. Effect,1.1100226603901432e-28,1.1100226603901432e-26,yes,yes
11,No-Effect vs. Effect,5.8074898259737e-23,5.8074898259737e-21,yes,yes
12,No-Effect vs. Effect,2.491875357356363e-29,2.491875357356363e-27,yes,yes
13,No-Effect vs. Effect,9.638120876570071e-19,9.638120876570072e-17,yes,yes
14,No-Effect vs. Effect,4.296186987940272e-24,4.296186987940272e-22,yes,yes
15,No-Effect vs. Effect,1.7606071957809533e-22,1.7606071957809533e-20,yes,yes
16,No-Effect vs. Effect,3.1255646777128424e-20,3.1255646777128423e-18,yes,yes
17,No-Effect vs. Effect,4.0135995453079224e-22,4.013599545307922e-20,yes,yes
18,No-Effect vs. Effect,2.4385787562283213e-20,2.4385787562283213e-18,yes,yes
19,No-Effect vs. Effect,4.262985486725531e-27,4.262985486725531e-25,yes,yes
20,No-Effect vs. Effect,3.009582505802225e-20,3.009582505802225e-18,yes,yes
21,No-Effect vs. Effect,2.1972777983685036e-24,2.1972777983685038e-22,yes,yes
22,No-Effect vs. Effect,8.86947640872226e-17,8.86947640872226e-15,yes,yes
23,No-Effect vs. Effect,4.6228872892469756e-21,4.622887289246975e-19,yes,yes
24,No-Effect vs. Effect,3.2784394211510337e-26,3.2784394211510336e-24,yes,yes
25,No-Effect vs. Effect,2.9014863245324176e-24,2.9014863245324177e-22,yes,yes
26,No-Effect vs. Effect,6.386484342786591e-21,6.386484342786591e-19,yes,yes
27,No-Effect vs. Effect,1.6865639968688928e-23,1.6865639968688928e-21,yes,yes
28,No-Effect vs. Effect,8.139237045923311e-21,8.139237045923311e-19,yes,yes
29,No-Effect vs. Effect,6.238054349897103e-20,6.238054349897103e-18,yes,yes
30,No-Effect vs. Effect,9.491322547567775e-24,9.491322547567775e-22,yes,yes
31,No-Effect vs. Effect,9.430915569886097e-26,9.430915569886097e-24,yes,yes
32,No-Effect vs. Effect,4.8446905931052527e-20,4.844690593105253e-18,yes,yes
33,No-Effect vs. Effect,1.3330488120193717e-26,1.3330488120193718e-24,yes,yes
34,No-Effect vs. Effect,9.070446184473893e-20,9.070446184473893e-18,yes,yes
35,No-Effect vs. Effect,7.3766749313363e-23,7.3766749313363e-21,yes,yes
36,No-Effect vs. Effect,2.2836085619368793e-23,2.2836085619368793e-21,yes,yes
37,No-Effect vs. Effect,4.0334027404058e-24,4.0334027404058004e-22,yes,yes
38,No-Effect vs. Effect,1.5711470154450167e-28,1.5711470154450167e-26,yes,yes
39,No-Effect vs. Effect,2.1634086209586727e-19,2.1634086209586727e-17,yes,yes
40,No-Effect vs. Effect,4.8095001832288744e-26,4.809500183228874e-24,yes,yes
41,No-Effect vs. Effect,5.687932969851663e-23,5.687932969851663e-21,yes,yes
42,No-Effect vs. Effect,3.0629089570181134e-26,3.0629089570181135e-24,yes,yes
43,No-Effect vs. Effect,2.4241412199467603e-22,2.4241412199467604e-20,yes,yes
44,No-Effect vs. Effect,3.7634067690841456e-24,3.7634067690841455e-22,yes,yes
45,No-Effect vs. Effect,3.845746765295606e-28,3.845746765295606e-26,yes,yes
46,No-Effect vs. Effect,3.905804086861774e-21,3.905804086861774e-19,yes,yes
47,No-Effect vs. Effect,9.09653772353804e-22,9.09653772353804e-20,yes,yes
48,No-Effect vs. Effect,1.0320093959535738e-26,1.0320093959535738e-24,yes,yes
49,No-Effect vs. Effect,1.4477713462039173e-21,1.4477713462039172e-19,yes,yes
50,No-Effect vs. Effect,8.962098655908019e-25,8.962098655908019e-23,yes,yes
51,No-Effect vs. Effect,1.613187963015255e-17,1.6131879630152548e-15,yes,yes
52,No-Effect vs. Effect,1.1351484588590048e-22,1.1351484588590048e-20,yes,yes
53,No-Effect vs. Effect,2.224603253217859e-24,2.224603253217859e-22,yes,yes
54,No-Effect vs. Effect,1.3323594366194772e-24,1.3323594366194773e-22,yes,yes
55,No-Effect vs. Effect,2.6602962536956226e-21,2.6602962536956227e-19,yes,yes
56,No-Effect vs. Effect,3.421803552238091e-21,3.4218035522380907e-19,yes,yes
57,No-Effect vs. Effect,6.514636400132099e-26,6.5146364001320995e-24,yes,yes
58,No-Effect vs. Effect,1.936922653438354e-24,1.9369226534383542e-22,yes,yes
59,No-Effect vs. Effect,1.325221431822497e-23,1.3252214318224972e-21,yes,yes
60,No-Effect vs. Effect,1.2562336267586008e-20,1.2562336267586008e-18,yes,yes
