index,pagerank,betweenness,closeness,eigenvector,katz,local_clustering,degree
SIK1B,0.00010904744565220791,4.315280408949846e-05,0.23091826201607873,0.009896373866001786,0.00931566631398071,0.011627906976744186,10
ARRDC3,1.4774631858327634e-05,0.0,0.20811025910149625,0.0,0.006280402630577328,0.0,3
MYF5,1.4774631858327634e-05,0.0,0.2114623964022663,0.0,0.006280402630577328,0.0,3
NCKAP5,2.4657706358584835e-05,1.0651250180801902e-07,6.072014087072682e-05,0.00048444424622596285,0.006455645153306925,0.0,1
ELOVL7,5.0721298463882973e-05,7.292710218947684e-05,0.26528535574775114,0.0039665629657261205,0.007292031762364951,0.009523809523809525,11
BHLHB9,1.4774631858327634e-05,0.0,0.22651597951706637,0.0,0.006280402630577328,0.0,3
DCTD,1.4774631858327634e-05,0.0,0.235375409499522,0.0,0.006280402630577328,0.0,3
MCF2L2,0.00012908564785550888,0.0,0.0,0.014426055514086307,0.01054202099209496,0.01942645698427382,0
LSM8,0.00033786800628487335,0.002182982383611462,0.30764278630268704,0.030357526216485176,0.015967741387814153,0.011895605804235246,87
MYO9A,2.8189767399645068e-05,0.0,0.0,0.000333571956101858,0.006499928913429648,0.0,0
DYRK1B,2.2408001356229436e-05,0.0,0.0,0.0018525608699919433,0.00682739779296441,0.0,0
RHPN1,1.5383297033389938e-05,3.013694679307408e-08,0.20535496223301522,4.1376292134202535e-05,0.006346772150831047,0.0,1
RGS16,1.4774631858327634e-05,0.0,0.20685749657603872,0.0,0.006280402630577328,0.0,1
SIPA1L2,0.00013765058722538086,9.206671491102386e-05,0.23965878172266272,0.0072275926701931646,0.008812784634832054,0.012145748987854251,9
SHBG,4.029851817349268e-05,2.9428999044770103e-06,0.2206511608630636,0.0009707776137844618,0.007001612614365832,0.0,1
FAM71C,9.828892226358262e-05,0.00045174323617035346,0.29873976793340196,0.009004075611471077,0.008807276746844128,0.017241379310344827,61
CBLN1,7.044418973338856e-05,2.833153450058174e-05,0.2378927653397896,0.005272534747146162,0.00782597056553277,0.015789473684210527,3
NRL,1.9045474658127132e-05,1.0210624398243137e-06,0.2224831501608987,0.00022192591512896397,0.006555840247920585,0.0,2
GNB1L,3.386425385699445e-05,4.35321504230835e-05,0.2496921344286195,0.0030030085799881557,0.00718235046530292,0.0,8
SPDYE2B,6.0769600582281844e-05,8.769218794059536e-05,0.2689626831362928,0.006455767119075806,0.0077508048466628735,0.01680672268907563,21
NOTCH2NL,2.1263542369726777e-05,7.934322517870868e-06,0.23410310569063295,0.0012042666663374065,0.006767491824774067,0.0,7
CHST4,7.209914455132867e-05,0.00012466107353744307,0.2632494238815324,0.010567374815039356,0.00817445327990845,0.030303030303030304,18
