index,pagerank,betweenness,closeness,eigenvector,katz,local_clustering,degree
PNPLA4,1.0489164736833533e-05,6.20745043260128e-08,0.2761662126256881,4.1715545491058265e-05,0.0008707074366262657,0.12121212121212122,11
LINC01547,1.619743759429874e-05,0.0,0.0,0.0004600776506739952,0.00128622002948076,0.4,0
DNAH11,1.1450117042952557e-05,0.0,0.0,0.00027330483268782796,0.0011074513810019964,0.16666666666666666,0
LMLN,1.7839733251877656e-05,3.899086788199601e-06,0.21297980598753677,0.000780569655442998,0.001721711073527891,0.04923076923076923,2
LPAL2,1.1763506876019162e-05,0.0,0.0,5.2774068904562015e-05,0.0008824873831333854,0.0,0
BRAP,3.543465317758382e-05,0.00015241097402638688,0.33849342481412337,0.0020498472865861862,0.0028967635811307144,0.06153846153846154,39
PPM1F,4.694658506452321e-05,8.01733241368804e-05,0.2958968149866852,0.0027483483403855126,0.003630654889531422,0.10283687943262411,10
GPRC5C,4.713078258701954e-05,4.3085257463100635e-05,0.30394595230884525,0.0015379737744430405,0.0029461331223882654,0.05400948258091115,18
LOC255308,1.8837478493860704e-05,1.4931606242833599e-06,0.28536474624152797,0.0006486728289543689,0.0014983376014830404,0.29411764705882354,7
CLASP2,7.332652621143033e-05,6.98824896230763e-05,0.3170534423031207,0.008643501117875714,0.009091790315636795,0.14169215086646278,27
WIPF3,2.0999003472517247e-05,1.914337218607735e-07,0.2508388947345583,0.001403281248299169,0.002187758851271952,0.4696969696969697,1
RBL1,0.000118391505416504,4.0763814467144284e-05,0.3170635321023306,0.0068794909830215386,0.0074912006837258285,0.14728682170542637,20
PLA2G2E,1.2726930717740246e-05,2.4153053055769987e-07,0.25990758224386473,8.4696983237311e-05,0.0009269659586750504,0.10714285714285714,5
GLO1,7.283228890988822e-05,6.513062551043679e-05,0.3118504691756227,0.003185842872438354,0.004088599999527889,0.11541471048513302,26
GPR115,1.1090693657095727e-05,0.0,0.0,9.629733358921252e-05,0.000924433059306324,0.0,0
MYO10,2.5191593542248774e-05,2.430447123396635e-06,0.27137992418235235,0.0025175134944419595,0.003287075918119193,0.10344827586206896,2
DNTTIP2,4.815641963709622e-05,4.9782209278552243e-05,0.33454747250524575,0.012024460555085709,0.011778478862079785,0.1981981981981982,19
SAMD4B,3.47303875246468e-05,3.932787633707799e-05,0.33070914472130125,0.00496195808390351,0.005542581187807945,0.21266209000762776,75
DLG5,0.0001116028370309618,6.034225408848728e-05,0.3041073890962531,0.01182697741237205,0.012715988724978443,0.15023474178403756,3
IMPA2,6.649725773711336e-05,3.172584426081331e-05,0.2950879494164442,0.0035961261529763614,0.00442065209254772,0.06804214223002635,18
FCRL2,1.2264384972530138e-05,1.1918648808681584e-06,0.26114250159754276,0.00015514160655122553,0.000992018514238962,0.01818181818181818,8
