index,pagerank,betweenness,closeness,eigenvector,katz,local_clustering,degree
NUMB,0.00012500962224436252,0.00023040183435662676,0.27124973615654147,0.008056300128604565,0.009461543194038595,0.09302325581395349,10
PNPLA4,1.4305022327902205e-05,0.0,0.20961958831742786,0.0,0.0062668373982813375,0.0,3
LINC01547,1.4305022327902205e-05,0.0,0.2228104124439574,0.0,0.0062668373982813375,0.3333333333333333,3
FBXO9,1.6316437556786726e-05,4.1490267079800344e-07,0.21555686152047604,0.00035701923036527566,0.006439038827779138,0.0,1
ARID1A,4.7640421898996626e-05,1.3157208167753693e-05,0.24484775147536192,0.00143734144220331,0.0070845393387308254,0.680952380952381,11
ACVR1C,1.4305022327902205e-05,0.0,0.19794187636798777,0.0,0.0062668373982813375,0.3333333333333333,3
SLC17A8,1.4305022327902205e-05,0.0,0.1763439150226237,0.0,0.0062668373982813375,0.0,3
DCAF1,0.0001270108193644495,0.0,0.0,0.020589992673561118,0.010678768529977645,0.04625346901017576,0
CREB3L1,0.0004143433655546284,0.001785816263787043,0.2666561129279054,0.0059366127736605575,0.014901599348297474,0.029380095369943085,87
NOMO3,1.561205070113651e-05,0.0,0.0,2.1642190119159145e-05,0.006463354508966596,0.0,0
LMLN,1.678351679154697e-05,0.0,0.0,5.687393859317906e-05,0.006668257915429069,0.06666666666666667,0
SIX6,1.6156917864234934e-05,0.0,0.1851261677784,0.0010068685034221616,0.00644883760387457,1.0,1
LPAL2,1.4305022327902205e-05,0.0,0.21620610921720765,0.0,0.0062668373982813375,0.0,1
RHEB,0.00012668097745918992,0.00016284224675350005,0.24609273122085892,0.005906783589456854,0.00902590064346411,0.02834008097165992,9
MFSD4B,4.112172396360768e-05,2.301606804274812e-06,0.16248909687945665,0.001286398574766261,0.007094952445049086,0.01818181818181818,1
PFDN1,9.102104212330153e-05,0.0006556154653684207,0.2865340799019257,0.006195493860568024,0.008759012381888946,0.03343782654127482,61
BRAP,7.0471093452919e-05,2.5090809908641955e-05,0.22089360771125469,0.00270134337787162,0.007698871729858692,0.015789473684210527,3
COL3A1,3.230968142171231e-05,8.900325517926624e-06,0.19031499295933071,0.0006969693945604289,0.006603614285670585,0.0,2
KRT28,4.371403246780167e-05,4.612599950732477e-06,0.21107385978657625,0.0024247631404962747,0.0071988981860823175,0.06535947712418301,8
LMAN2L,4.392971259204448e-05,7.977162718616331e-05,0.2212271106754576,0.0006324604976441469,0.007298780527190987,0.010084033613445379,21
MILR1,3.28209466704128e-05,3.489179686192078e-05,0.23740751021399772,0.00024693676738267814,0.00673930624111273,0.01282051282051282,7
GPRC5C,4.02692053664063e-05,0.000126730396310377,0.25244239538065427,0.0009073459782179015,0.007410504110772911,0.00946969696969697,18
PPM1F,4.1706817326902925e-05,3.545383718746272e-05,0.2587196290866954,0.0016179597213383783,0.006879403769326632,0.08974358974358974,6
DGCR2,2.7953397449479796e-05,0.0,0.0,0.0004024754381860021,0.006718524733837053,0.0,0
KIAA0930,2.6546844164975904e-05,1.927343711731458e-05,0.2442326709055186,0.002701888617688641,0.006961583314095046,0.19166666666666668,11
EGF,2.9397197605503985e-05,8.288473986225928e-05,0.2651484462872661,0.000429330766812779,0.00657430034267684,0.3333333333333333,5
PROSER3,2.580410017447335e-05,4.104231790074873e-06,0.22569830571529964,0.0005517381380818045,0.006609223484717486,0.07142857142857142,4
CLASP2,6.149277701178047e-05,0.00010524330087041632,0.21747525654258185,0.0031593794516172184,0.00802296017887561,0.05555555555555555,7
C19orf73,1.4305022327902205e-05,0.0,0.22760636385628252,0.0,0.0062668373982813375,0.0,3
AOC1,2.3514161815826467e-05,7.682578151138478e-05,0.25138261206481327,0.00018197789549990014,0.006491957258569176,0.16483516483516483,11
HACD4,1.4844689407075314e-05,0.0,0.0,0.00011187256704231497,0.006358995176719793,0.0,0
WIPF3,2.1474060798320268e-05,4.8954415250221035e-05,6.072014087072682e-05,0.0012303882117936484,0.006640969967349335,0.3333333333333333,1
RBL1,0.0001272250868689211,0.0002031507469462967,0.2614309279483365,0.009933315865442533,0.00984518715008296,0.10938775510204081,13
FHIT,6.315090177071847e-05,8.551674208729008e-05,0.2582973349641148,0.0018517409922694916,0.006986548357988452,0.06060606060606061,5
KANSL1,2.937077244451311e-05,6.796835266565963e-05,0.27073694010971006,0.0019343428312674745,0.006874617641857409,0.05689900426742532,33
AMIGO3,2.1410625758874066e-05,6.038061918777218e-06,0.22724397063457838,0.0001092017882508319,0.006410545194349967,0.0,10
POLR3K,9.149540260538424e-05,1.504010257446919e-05,0.21772893179777567,0.002467837817205259,0.007565020981560643,0.43137254901960786,3
