index,pagerank,betweenness,closeness,eigenvector,katz,local_clustering,degree
NUMB,2.3318174153153307e-05,6.0554329666143325e-05,0.3413834860591081,0.00021027957270432703,0.004140737650380582,0.18860600718692794,196
ASXL3,1.6231069061172926e-05,0.0,0.0,0.0005068371276930939,0.001224921134737467,0.19444444444444445,0
PNPLA4,1.436385172335627e-05,3.3684098743873947e-08,0.1835882925871151,1.160373394177941e-09,0.0006040263365461528,0.3888888888888889,7
LINC01547,1.3432204130146007e-05,2.244429115482687e-09,0.17248654936409394,1.7919884447840177e-11,0.0005983301361654963,0.3333333333333333,2
FBXO9,4.181987735355102e-05,4.755835776208275e-07,0.09793681475992676,0.002805469914195272,0.003676043691342946,0.26794871794871794,3
TNXA,1.4371931580676043e-05,2.1787890231938374e-08,0.1432046306647662,3.3174483393079195e-07,0.0006193238178770447,0.16666666666666666,1
IGH,1.3382494849405547e-05,0.0,0.2524357511260737,0.0,0.0005920408261928949,0.0,3
ARID1A,1.447295280097794e-05,6.772877382604637e-05,0.4005872127054074,8.58445288100372e-07,0.0006418272141297235,0.2600924124513619,249
DCAF1,0.0005529059182889464,5.106721903335347e-06,0.0001278968639688955,0.03039327402459342,0.022200041163224233,0.14353259034110097,2
SLC17A8,1.7920328234575748e-05,1.3287209555046836e-06,0.18195125588586838,6.833395015912514e-05,0.0008925794484286629,0.2388663967611336,16
DNAH11,2.800508771561058e-05,3.530327445800021e-05,0.1611360084516408,0.00031266225095560017,0.0009700812768402919,0.44664031620553357,8
ACVR1C,5.30453313289353e-05,0.00012511531523348764,0.1969003789705162,0.0043739173863187935,0.00996065679009968,0.25458284579654644,55
NOMO3,1.3892397861472748e-05,6.451073245107965e-07,0.2633966070592989,3.4589834104299264e-06,0.0006568849506169722,0.07575757575757576,8
CREB3L1,0.00011976137133340712,0.00036924068848899954,0.1706137142011541,0.001913329244949216,0.0037992519133314326,0.034323858742463395,70
LMLN,2.4658654593637684e-05,1.7478069074242987e-06,0.11493679948182939,0.0006073867806236728,0.0016059373034147232,0.05,4
SIX6,1.3830288264896536e-05,7.408161883017182e-07,0.2968849663265387,8.65428672212751e-09,0.0006133639258706734,0.2524390243902439,38
RHEB,3.296115630265163e-05,0.00016112968364322277,0.26099178173280446,0.0030875603876025248,0.01090401074397551,0.3630971941849365,158
MFSD4B,1.4978971376334645e-05,7.732835229066053e-07,0.22206312300956144,1.2007286598301481e-05,0.0007220495467952502,0.05714285714285714,7
LPAL2,1.4029675599009436e-05,3.5404431514409097e-08,9.379103357719002e-05,4.2172362144946764e-05,0.0007929766081410943,0.047619047619047616,1
PFDN1,1.43710601482724e-05,5.238216304109238e-05,0.3624523874856012,1.1472889405734147e-06,0.0007055117607393042,0.11442786069651742,184
BRAP,4.0157876656444915e-05,0.00014973761372656013,0.2194167061998293,0.002021841485231826,0.005289346164913676,0.09790372670807454,72
COL3A1,1.578279751545051e-05,7.036470790889641e-05,0.37423879034736196,1.1942833118358835e-06,0.0009375418477192247,0.19510824715115974,299
KRT28,2.0558775476490286e-05,3.956163557039168e-06,0.17457947982453276,0.0007737950074660975,0.0016639137830601466,0.17846153846153845,5
LMAN2L,4.976302679736107e-05,2.8251793437622713e-05,0.12956591579312085,0.0020717310054151456,0.0031961030125112213,0.09724106739032112,12
DGCR2,1.9749716819191004e-05,0.0001375220977281509,0.24737375935001304,3.27782322644559e-05,0.0010299572848200197,0.24956165984804207,27
PPM1F,1.4878415169941166e-05,8.404855865630962e-06,0.30815974482134945,4.2995408760608516e-05,0.0012732325581774194,0.19885864793678665,44
GPRC5C,4.7935671798507165e-05,5.3215856232934256e-05,0.11231814462497716,0.002605519704729302,0.002969357606600327,0.03717948717948718,4
MILR1,1.8630648568605983e-05,3.6592268233008416e-06,0.19142416319602842,0.00011339250754725391,0.001086499565944091,0.34547908232118757,18
HLA-CW,1.3382494849405547e-05,0.0,0.2156089287950902,0.0,0.0005920408261928949,0.6666666666666666,3
TMEM215,1.3382494849405547e-05,0.0,0.14863354925148206,0.0,0.0005920408261928949,0.0,1
KIAA0930,2.2843795443314747e-05,6.730994071539641e-06,0.21973156317940004,0.0017145594713451387,0.005360281288278856,0.43967112024665983,57
KIAA1755,1.3558539486723745e-05,0.0,0.0,6.422665889301911e-06,0.0006635657017586103,1.0,0
EGF,1.6566551498086663e-05,8.184809284815177e-05,0.3982821218048838,1.3388352248661112e-06,0.000985331632903397,0.16113419478562624,315
"cDNA FLJ53353, highly similar to ATP-binding cassette sub-family D member 3",1.3382494849405547e-05,0.0,0.27591846558310196,0.0,0.0005920408261928949,0.0,2
PROSER3,1.3582160561846902e-05,8.243013599242667e-06,0.20539405825895982,0.0002912476335920719,0.0009736728425592629,0.20952380952380953,14
CLASP2,1.4689760696343751e-05,9.786447863862062e-05,0.39053717494907264,2.2972164662929845e-06,0.0007510327431275914,0.17497087055429175,247
C19orf73,1.4310565869451201e-05,0.0,0.0,0.00011981025240694702,0.0008179770352188205,0.0,0
AOC1,1.5277160534222186e-05,2.6189993050559797e-06,0.2779498965192196,8.649092188058354e-07,0.0006572714568998622,0.09333333333333334,17
HACD4,1.3543136459710536e-05,0.0,0.0,2.3621722922842468e-07,0.0006194860001515838,0.0,0
WIPF3,1.3382494849405547e-05,0.0,0.308144455687519,0.0,0.0005920408261928949,0.6388888888888888,9
RBL1,1.8929999248197744e-05,2.7085353746843066e-05,0.3543946167404688,4.9915660701191605e-05,0.0019461094938044874,0.2279157774306396,217
KANSL1,2.187967587502753e-05,1.7608885230669402e-05,0.19940489173236595,0.001695829051841436,0.00395378185162365,0.18179646440516006,43
FHIT,1.5018204808670345e-05,1.4173419965855944e-06,0.2788804984627617,2.6631589268177794e-05,0.0010363637789696169,0.1951219512195122,25
